consensus_ontology	consensus_annotation	ensembl_gene_id	gene_symbol	number_of_tissues	celltype_total_tissues	percent_tissues	gene_observed_count
CL:0000236	B cell	ENSG00000156738	MS4A1	50	66	75.76	3
CL:0000236	B cell	ENSG00000105369	CD79A	41	66	62.12	5
CL:0000236	B cell	ENSG00000177455	CD19	39	66	59.09	8
CL:0000236	B cell	ENSG00000007312	CD79B	19	66	28.79	1
CL:0000236	B cell	ENSG00000139193	CD27	14	66	21.21	11
CL:0000236	B cell	ENSG00000012124	CD22	12	66	18.18	1
CL:0000236	B cell	ENSG00000211592	IGKC	12	66	18.18	2
CL:0000236	B cell	ENSG00000132465	JCHAIN	12	66	18.18	3
CL:0000236	B cell	ENSG00000170476	MZB1	12	66	18.18	3
CL:0000236	B cell	ENSG00000117322	CR2	11	66	16.67	2
CL:0000236	B cell	ENSG00000104921	FCER2	11	66	16.67	2
CL:0000785	mature B cell	ENSG00000177455	CD19	1	4	25	8
CL:0000785	mature B cell	ENSG00000104894	CD37	1	4	25	2
CL:0000785	mature B cell	ENSG00000019582	CD74	1	4	25	4
CL:0000785	mature B cell	ENSG00000105369	CD79A	1	4	25	5
CL:0000785	mature B cell	ENSG00000135829	DHX9	1	4	25	1
CL:0000785	mature B cell	ENSG00000204287	HLA-DRA	1	4	25	4
CL:0000785	mature B cell	ENSG00000211899	IGHM	1	4	25	2
CL:0000785	mature B cell	ENSG00000134460	IL2RA	1	4	25	7
CL:0000785	mature B cell	ENSG00000254087	LYN	1	4	25	2
CL:0000788	naive B cell	ENSG00000177455	CD19	8	19	42.11	8
CL:0000788	naive B cell	ENSG00000211898	IGHD	8	19	42.11	1
CL:0000788	naive B cell	ENSG00000100721	TCL1A	8	19	42.11	1
CL:0000788	naive B cell	ENSG00000139193	CD27	7	19	36.84	11
CL:0000788	naive B cell	ENSG00000211899	IGHM	6	19	31.58	2
CL:0000788	naive B cell	ENSG00000077238	IL4R	6	19	31.58	1
CL:0000788	naive B cell	ENSG00000156738	MS4A1	6	19	31.58	3
CL:0000788	naive B cell	ENSG00000104921	FCER2	5	19	26.32	2
CL:0000788	naive B cell	ENSG00000004468	CD38	4	19	21.05	10
CL:0000788	naive B cell	ENSG00000084234	APLP2	3	19	15.79	2
CL:0000788	naive B cell	ENSG00000105369	CD79A	3	19	15.79	5
CL:0000788	naive B cell	ENSG00000121966	CXCR4	3	19	15.79	7
CL:0000788	naive B cell	ENSG00000147535	PLPP5	3	19	15.79	1
CL:0000787	memory B cell	ENSG00000139193	CD27	14	20	70	11
CL:0000787	memory B cell	ENSG00000177455	CD19	8	20	40	8
CL:0000787	memory B cell	ENSG00000156738	MS4A1	8	20	40	3
CL:0000787	memory B cell	ENSG00000117322	CR2	4	20	20	2
CL:0000787	memory B cell	ENSG00000163568	AIM2	2	20	10	1
CL:0000787	memory B cell	ENSG00000026508	CD44	2	20	10	16
CL:0000787	memory B cell	ENSG00000105369	CD79A	2	20	10	5
CL:0000787	memory B cell	ENSG00000114013	CD86	2	20	10	4
CL:0000787	memory B cell	ENSG00000143297	FCRL5	2	20	10	1
CL:0000787	memory B cell	ENSG00000211896	IGHG1	2	20	10	2
CL:0000972	class switched memory B cell	ENSG00000177455	CD19	2	3	66.67	8
CL:0000972	class switched memory B cell	ENSG00000139193	CD27	2	3	66.67	11
CL:0000972	class switched memory B cell	ENSG00000004468	CD38	1	3	33.33	10
CL:0000972	class switched memory B cell	ENSG00000081237	PTPRC	1	3	33.33	18
CL:0000946	antibody secreting cell	ENSG00000177455	CD19	3	6	50	8
CL:0000946	antibody secreting cell	ENSG00000004468	CD38	3	6	50	10
CL:0000946	antibody secreting cell	ENSG00000115884	SDC1	3	6	50	2
CL:0000946	antibody secreting cell	ENSG00000110651	CD81	2	6	33.33	1
CL:0000946	antibody secreting cell	ENSG00000138185	ENTPD1	2	6	33.33	3
CL:0000946	antibody secreting cell	ENSG00000134352	IL6ST	2	6	33.33	1
CL:0000946	antibody secreting cell	ENSG00000057657	PRDM1	2	6	33.33	3
CL:0000946	antibody secreting cell	ENSG00000139193	CD27	1	6	16.67	11
CL:0000946	antibody secreting cell	ENSG00000170476	MZB1	1	6	16.67	3
CL:0000946	antibody secreting cell	ENSG00000188404	SELL	1	6	16.67	5
CL:0000946	antibody secreting cell	ENSG00000072274	TFRC	1	6	16.67	4
CL:0000946	antibody secreting cell	ENSG00000100219	XBP1	1	6	16.67	2
CL:0000786	plasma cell	ENSG00000115884	SDC1	22	40	55	2
CL:0000786	plasma cell	ENSG00000170476	MZB1	18	40	45	3
CL:0000786	plasma cell	ENSG00000004468	CD38	16	40	40	10
CL:0000786	plasma cell	ENSG00000139193	CD27	12	40	30	11
CL:0000786	plasma cell	ENSG00000132465	JCHAIN	12	40	30	3
CL:0000786	plasma cell	ENSG00000211896	IGHG1	11	40	27.5	2
CL:0000786	plasma cell	ENSG00000105369	CD79A	10	40	25	5
CL:0000786	plasma cell	ENSG00000100219	XBP1	10	40	25	2
CL:0000786	plasma cell	ENSG00000211592	IGKC	9	40	22.5	2
CL:0000786	plasma cell	ENSG00000177455	CD19	7	40	17.5	8
CL:0000786	plasma cell	ENSG00000026751	SLAMF7	7	40	17.5	2
CL:0000786	plasma cell	ENSG00000048462	TNFRSF17	7	40	17.5	1
CL:0000084	T cell	ENSG00000167286	CD3D	47	72	65.28	9
CL:0000084	T cell	ENSG00000153563	CD8A	33	72	45.83	9
CL:0000084	T cell	ENSG00000010610	CD4	31	72	43.06	14
CL:0000084	T cell	ENSG00000198851	CD3E	30	72	41.67	7
CL:0000084	T cell	ENSG00000116824	CD2	25	72	34.72	2
