ensembl_gene_id	tumor	immune	mesenchymal-like cells	endothelial cells	other
ENSG00000002586	1	0	0	0	0
ENSG00000105974	1	0	0	0	0
ENSG00000110092	1	0	0	0	0
ENSG00000114315	1	0	0	0	0
ENSG00000119537	1	0	0	0	0
ENSG00000182752	1	0	0	0	0
ENSG00000164647	1	0	0	0	0
ENSG00000125820	1	0	0	0	0
ENSG00000169297	1	0	0	0	0
ENSG00000186868	1	0	0	0	0
ENSG00000166501	1	0	0	0	0
ENSG00000173698	1	0	0	0	0
ENSG00000081237	0	1	0	0	0
ENSG00000108821	0	0	1	0	0
ENSG00000168542	0	0	1	0	0
ENSG00000261371	0	0	0	1	0
ENSG00000110799	0	0	0	1	0
