NBAtlas_label	ensembl_gene_id	gene_symbol	p_val_adj	avg_log2FC	direction	source
B cell	ENSG00000156738	MS4A1	0	3.47435552189089	up	NBAtlas
B cell	ENSG00000211899	IGHM	0	4.49584871087588	up	NBAtlas
B cell	ENSG00000100721	TCL1A	0	2.92880685783778	up	NBAtlas
B cell	ENSG00000105369	CD79A	0	3.29302211348341	up	NBAtlas
B cell	ENSG00000128218	VPREB3	0	2.76259751924947	up	NBAtlas
B cell	ENSG00000211898	IGHD	0	2.21346848202191	up	NBAtlas
B cell	ENSG00000007312	CD79B	0	2.89814249166498	up	NBAtlas
B cell	ENSG00000153064	BANK1	0	2.0864855812522	up	NBAtlas
B cell	ENSG00000012124	CD22	0	1.60367728325972	up	NBAtlas
B cell	ENSG00000247982	LINC00926	0	1.83938861243853	up	NBAtlas
B cell	ENSG00000159958	TNFRSF13C	0	1.68604354395921	up	NBAtlas
B cell	ENSG00000269404	SPIB	0	1.59961647020075	up	NBAtlas
B cell	ENSG00000211677	IGLC2	0	3.00659881158769	up	NBAtlas
B cell	ENSG00000179344	HLA-DQB1	0	2.58337161868265	up	NBAtlas
B cell	ENSG00000196735	HLA-DQA1	0	2.34982993020893	up	NBAtlas
B cell	ENSG00000112149	CD83	0	2.87262569198018	up	NBAtlas
B cell	ENSG00000204287	HLA-DRA	0	3.42673107273578	up	NBAtlas
B cell	ENSG00000081189	MEF2C	0	2.09597031612991	up	NBAtlas
B cell	ENSG00000104894	CD37	0	3.36150252764465	up	NBAtlas
B cell	ENSG00000223865	HLA-DPB1	0	2.8248851931547	up	NBAtlas
B cell	ENSG00000231389	HLA-DPA1	0	2.55756166441355	up	NBAtlas
B cell	ENSG00000196126	HLA-DRB1	0	2.81759809420906	up	NBAtlas
B cell	ENSG00000204257	HLA-DMA	0	2.0401119509404	up	NBAtlas
B cell	ENSG00000019582	CD74	0	3.66429675586446	up	NBAtlas
B cell	ENSG00000211592	IGKC	0	2.49866095626477	up	NBAtlas
B cell	ENSG00000242574	HLA-DMB	0	1.60167368290278	up	NBAtlas
B cell	ENSG00000162894	FCMR	0	1.59524681020884	up	NBAtlas
B cell	ENSG00000110848	CD69	0	2.36398485780912	up	NBAtlas
